Gata;Område;Storlek;Slutpris;Månadskostnad;Datum;Hiss;Nyproduktion;Balkong;Uteplats;Kommun;Rooms
Näckrosvägen 25, 3 tr;Råsunda - Näckrosen;56,5;3275000;3498;4 dec. 2023;1;0;1;0; Solna kommun;2
Järva skjutbaneväg 31;Järvastaden;46,5;2700000;2929;3 dec. 2023;1;0;1;0; Solna kommun;2
Pipers Väg 169;Bergshamra;117;8700000;6960;2 dec. 2023;0;0;0;0; Solna kommun;4
Armégatan 9B;Västra Skogen;38;2775000;2264;2 dec. 2023;1;0;1;0; Solna kommun;2
Solnavägen 96B, våning 2;Råsunda;93;6150000;6074;1 dec. 2023;1;0;1;0; Solna kommun;4
Gustav III:s Boulevard 139, 3 tr;Frösunda;103;6185000;5805;1 dec. 2023;1;0;1;0; Solna kommun;4
Johan Enbergs väg 3;Västra Skogen;78;4700000;4058;30 nov. 2023;1;0;1;0; Solna kommun;3
Armégatan 9A, 3 tr;Solna - Västra skogen;78;4750000;4648;30 nov. 2023;1;0;1;0; Solna kommun;3
Huvudstagatan 1D, 3 tr;Solna Centrum;98;5700000;5350;30 nov. 2023;1;0;1;0; Solna kommun;4
Blomgatan 12;Rudviken;36,5;2450000;1992;30 nov. 2023;1;0;1;0; Solna kommun;2
Klippgatan 12 A, 1 tr;Solna Centrum;96,5;4925000;4941;30 nov. 2023;1;0;1;0; Solna kommun;4
Ritorpsvägen 3;Ritorp;70,7;3460000;3752;30 nov. 2023;0;0;1;0; Solna kommun;3
Johan Enbergs väg 50;Västra skogen / Huvudsta;80;5050000;5045;30 nov. 2023;1;0;1;0; Solna kommun;3
Stråkvägen 4B;Gamla Råsunda;76;5820000;3503;29 nov. 2023;1;0;0;0; Solna kommun;3
Infanterigatan 4;Västra Skogen;75,5;3750000;4163;29 nov. 2023;1;0;1;0; Solna kommun;3
Klippgatan 8C;Huvudsta;75;4150000;2753;29 nov. 2023;1;0;1;0; Solna kommun;3
Nybodagatan 6A;Skytteholm;73;3550000;3343;29 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 21, 3 tr;Frösunda;94;5095000;5765;29 nov. 2023;1;0;1;0; Solna kommun;4
Lostigen 22;Bergshamra;75,5;4100000;3949;29 nov. 2023;0;0;1;0; Solna kommun;3
Infanterigatan 17;Västra skogen / Huvudsta;98,5;4800000;5160;29 nov. 2023;1;0;1;0; Solna kommun;4
Johan Enbergs väg 36;Västra Skogen;68,5;3100000;3781;28 nov. 2023;1;0;1;0; Solna kommun;2
Järva Skjutbaneväg 39;Järvastaden i Solna;49;2500000;2942;28 nov. 2023;1;0;0;1; Solna kommun;2
Rosenborgsgatan 3, 6 tr;Frösunda;107;6075000;5464;28 nov. 2023;1;0;1;0; Solna kommun;4
Vårvägen 5;Vireberg - Råsunda;51;3000000;2547;28 nov. 2023;0;0;1;0; Solna kommun;2
Johan Enbergs väg 58;Västra Skogen;71;3800000;3960;28 nov. 2023;0;0;1;0; Solna kommun;3
Illerstigen 38, 2 tr;Bergshamra;98;4795000;4785;27 nov. 2023;1;0;1;0; Solna kommun;4
Hasselstigen 2;Råsunda;62;4425000;3965;27 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 13, 4 tr;Frösunda;72,5;3995000;4207;27 nov. 2023;1;0;1;0; Solna kommun;3
Ankdammsgatan 4;Skytteholm;81;4200000;4837;27 nov. 2023;1;0;1;0; Solna kommun;3
Kolonnvägen 2;Haga Norra;47;3100000;3944;26 nov. 2023;1;0;1;0; Solna kommun;2
Uppfartsvägen 4A, vån 4 av 4!;Gamla Råsunda;56;4280000;3275;26 nov. 2023;1;0;1;0; Solna kommun;3
Evenemangsgatan 40, vån 13;Arenastaden;49;3170000;3359;25 nov. 2023;1;0;1;0; Solna kommun;2
Johan enbergs väg 40A;Västra skogen;80,4;4925000;4635;25 nov. 2023;1;0;1;0; Solna kommun;3
Rådjursstigen 34;Bergshamra;58,5;3400000;2350;24 nov. 2023;1;0;1;0; Solna kommun;2
Andersvägen 1, 3 tr;Haga Norra;49;2850000;2160;24 nov. 2023;1;0;1;0; Solna kommun;2
Vintervägen 17, vån 2;Gamla Råsunda;37;2775000;2302;24 nov. 2023;1;0;0;0; Solna kommun;2
Johan Enbergs väg 15;Västra Skogen;69;4010000;4008;24 nov. 2023;1;0;1;0; Solna kommun;3
Råsundavägen 100, 8 tr;Råsunda;89;4995000;4044;24 nov. 2023;1;0;1;0; Solna kommun;4
Skytteholmsvägen 24, 4 tr;Solna Centrum;63;3350000;2672;24 nov. 2023;1;0;1;0; Solna kommun;5
Backvägen 1, 2 tr;Råsunda;92;5625000;4345;24 nov. 2023;1;0;1;0; Solna kommun;4
Klippgatan 16A;Solna C;60;3295000;3294;24 nov. 2023;1;0;1;0; Solna kommun;2
Backvägen 5;Råsunda;63;3100000;3363;24 nov. 2023;1;0;0;0; Solna kommun;5
Evenemangsgatan 40;Arenastaden;67;4530000;4596;23 nov. 2023;1;0;1;0; Solna kommun;3
Björnstigen 107;Bergshamra;58;3400000;2167;23 nov. 2023;0;0;1;0; Solna kommun;2
Evenemangsgatan 40, våning 10;Arenastaden;67;3800000;4593;23 nov. 2023;1;0;1;0; Solna kommun;3
Arvid Tydéns allé 24;Huvudsta - Ingenting;56;3500000;3020;22 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 9, 4 tr;Frösunda;56;3000000;3377;22 nov. 2023;1;0;0;0; Solna kommun;2
Nybodagatan 12, 7tr;Skytteholm;62;3000000;3376;22 nov. 2023;1;0;1;0; Solna kommun;2
Signalistgatan 4, 5 tr;Frösunda;112,5;6350000;5976;22 nov. 2023;1;0;1;0; Solna kommun;4
Huvudstagatan 14A;Huvudsta;78;4250000;4131;22 nov. 2023;1;0;0;1; Solna kommun;4
Näckrosvägen 25, 3 tr;Råsunda - Näckrosen;56,5;3275000;3498;4 dec. 2023;1;0;1;0; Solna kommun;2
Järva skjutbaneväg 31;Järvastaden;46,5;2700000;2929;3 dec. 2023;1;0;1;0; Solna kommun;2
Pipers Väg 169;Bergshamra;117;8700000;6960;2 dec. 2023;0;0;0;0; Solna kommun;4
Armégatan 9B;Västra Skogen;38;2775000;2264;2 dec. 2023;1;0;1;0; Solna kommun;2
Solnavägen 96B, våning 2;Råsunda;93;6150000;6074;1 dec. 2023;1;0;1;0; Solna kommun;4
Gustav III:s Boulevard 139, 3 tr;Frösunda;103;6185000;5805;1 dec. 2023;1;0;1;0; Solna kommun;4
Johan Enbergs väg 3;Västra Skogen;78;4700000;4058;30 nov. 2023;1;0;1;0; Solna kommun;3
Armégatan 9A, 3 tr;Solna - Västra skogen;78;4750000;4648;30 nov. 2023;1;0;1;0; Solna kommun;3
Huvudstagatan 1D, 3 tr;Solna Centrum;98;5700000;5350;30 nov. 2023;1;0;1;0; Solna kommun;4
Blomgatan 12;Rudviken;36,5;2450000;1992;30 nov. 2023;1;0;1;0; Solna kommun;2
Klippgatan 12 A, 1 tr;Solna Centrum;96,5;4925000;4941;30 nov. 2023;1;0;1;0; Solna kommun;4
Ritorpsvägen 3;Ritorp;70,7;3460000;3752;30 nov. 2023;0;0;1;0; Solna kommun;3
Johan Enbergs väg 50;Västra skogen / Huvudsta;80;5050000;5045;30 nov. 2023;1;0;1;0; Solna kommun;3
Stråkvägen 4B;Gamla Råsunda;76;5820000;3503;29 nov. 2023;1;0;0;0; Solna kommun;3
Infanterigatan 4;Västra Skogen;75,5;3750000;4163;29 nov. 2023;1;0;1;0; Solna kommun;3
Klippgatan 8C;Huvudsta;75;4150000;2753;29 nov. 2023;1;0;1;0; Solna kommun;3
Nybodagatan 6A;Skytteholm;73;3550000;3343;29 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 21, 3 tr;Frösunda;94;5095000;5765;29 nov. 2023;1;0;1;0; Solna kommun;4
Lostigen 22;Bergshamra;75,5;4100000;3949;29 nov. 2023;0;0;1;0; Solna kommun;3
Infanterigatan 17;Västra skogen / Huvudsta;98,5;4800000;5160;29 nov. 2023;1;0;1;0; Solna kommun;4
Johan Enbergs väg 36;Västra Skogen;68,5;3100000;3781;28 nov. 2023;1;0;1;0; Solna kommun;2
Järva Skjutbaneväg 39;Järvastaden i Solna;49;2500000;2942;28 nov. 2023;1;0;0;1; Solna kommun;2
Rosenborgsgatan 3, 6 tr;Frösunda;107;6075000;5464;28 nov. 2023;1;0;1;0; Solna kommun;4
Vårvägen 5;Vireberg - Råsunda;51;3000000;2547;28 nov. 2023;0;0;1;0; Solna kommun;2
Johan Enbergs väg 58;Västra Skogen;71;3800000;3960;28 nov. 2023;0;0;1;0; Solna kommun;3
Illerstigen 38, 2 tr;Bergshamra;98;4795000;4785;27 nov. 2023;1;0;1;0; Solna kommun;4
Hasselstigen 2;Råsunda;62;4425000;3965;27 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 13, 4 tr;Frösunda;72,5;3995000;4207;27 nov. 2023;1;0;1;0; Solna kommun;3
Ankdammsgatan 4;Skytteholm;81;4200000;4837;27 nov. 2023;1;0;1;0; Solna kommun;3
Kolonnvägen 2;Haga Norra;47;3100000;3944;26 nov. 2023;1;0;1;0; Solna kommun;2
Uppfartsvägen 4A, vån 4 av 4!;Gamla Råsunda;56;4280000;3275;26 nov. 2023;1;0;1;0; Solna kommun;3
Evenemangsgatan 40, vån 13;Arenastaden;49;3170000;3359;25 nov. 2023;1;0;1;0; Solna kommun;2
Johan enbergs väg 40A;Västra skogen;80,4;4925000;4635;25 nov. 2023;1;0;1;0; Solna kommun;3
Rådjursstigen 34;Bergshamra;58,5;3400000;2350;24 nov. 2023;1;0;1;0; Solna kommun;2
Andersvägen 1, 3 tr;Haga Norra;49;2850000;2160;24 nov. 2023;1;0;1;0; Solna kommun;2
Vintervägen 17, vån 2;Gamla Råsunda;37;2775000;2302;24 nov. 2023;1;0;0;0; Solna kommun;2
Johan Enbergs väg 15;Västra Skogen;69;4010000;4008;24 nov. 2023;1;0;1;0; Solna kommun;3
Råsundavägen 100, 8 tr;Råsunda;89;4995000;4044;24 nov. 2023;1;0;1;0; Solna kommun;4
Skytteholmsvägen 24, 4 tr;Solna Centrum;63;3350000;2672;24 nov. 2023;1;0;1;0; Solna kommun;5
Backvägen 1, 2 tr;Råsunda;92;5625000;4345;24 nov. 2023;1;0;1;0; Solna kommun;4
Klippgatan 16A;Solna C;60;3295000;3294;24 nov. 2023;1;0;1;0; Solna kommun;2
Backvägen 5;Råsunda;63;3100000;3363;24 nov. 2023;1;0;0;0; Solna kommun;5
Evenemangsgatan 40;Arenastaden;67;4530000;4596;23 nov. 2023;1;0;1;0; Solna kommun;3
Björnstigen 107;Bergshamra;58;3400000;2167;23 nov. 2023;0;0;1;0; Solna kommun;2
Evenemangsgatan 40, våning 10;Arenastaden;67;3800000;4593;23 nov. 2023;1;0;1;0; Solna kommun;3
Arvid Tydéns allé 24;Huvudsta - Ingenting;56;3500000;3020;22 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 9, 4 tr;Frösunda;56;3000000;3377;22 nov. 2023;1;0;0;0; Solna kommun;2
Nybodagatan 12, 7tr;Skytteholm;62;3000000;3376;22 nov. 2023;1;0;1;0; Solna kommun;2
Signalistgatan 4, 5 tr;Frösunda;112,5;6350000;5976;22 nov. 2023;1;0;1;0; Solna kommun;4
Huvudstagatan 14A;Huvudsta;78;4250000;4131;22 nov. 2023;1;0;0;1; Solna kommun;4
Fridensborgsvägen 58;Järvastaden;37;2550000;2050;21 nov. 2023;1;0;1;0; Solna kommun;2
Evenemangsgatan 18, våning 11;Arenastaden;73;4600000;3717;21 nov. 2023;1;0;1;0; Solna kommun;3
Karolinagatan 10A, vån 3 & 4!;Huvudsta;104;5725000;5508;21 nov. 2023;1;0;1;0; Solna kommun;4
Evenemangsgatan 24, Vån 10;Arenastaden;43;3030000;2106;21 nov. 2023;1;0;1;0; Solna kommun;2
Uppfartsvägen 2, 3 tr;Råsunda;46;3350000;3280;21 nov. 2023;1;0;1;0; Solna kommun;2
Bollgatan 2A, våning 2;Råsunda;93;6000000;6074;21 nov. 2023;1;0;1;0; Solna kommun;4
Evenemangsgatan 40, vån 7;Arenastaden;43;2590000;2947;20 nov. 2023;1;0;1;0; Solna kommun;2
Storgatan 62C, vån 2;Huvudsta;92,5;4450000;6159;20 nov. 2023;1;0;1;0; Solna kommun;4
Greta Garbos väg 21B, 3tr;Gamla Filmstaden;76,5;5250000;4806;20 nov. 2023;1;0;1;0; Solna kommun;3
Fridensborgsvägen 161;Järvastaden;61;3300000;3700;20 nov. 2023;1;0;1;0; Solna kommun;2
Parkvägen 15, 1tr;Gamla Råsunda;48;2700000;2762;19 nov. 2023;1;0;0;0; Solna kommun;2
Polhemsgatan 3;Huvudsta;59;2675000;3125;19 nov. 2023;1;0;0;0; Solna kommun;2
Oskarsrogatan 5, vån 7;Huvudsta;72;3380000;5274;18 nov. 2023;1;0;1;0; Solna kommun;2
Algatan 13;Råsunda;62;3700000;4465;18 nov. 2023;1;0;1;0; Solna kommun;3
Centralvägen 3;Centrala Solna;83;4100000;4133;17 nov. 2023;1;0;1;0; Solna kommun;3
Evenemangsgatan 24, Vån 21 av 21!;Arenastaden;122;12700000;5976;17 nov. 2023;1;0;1;0; Solna kommun;4
Trubadurvägen 1;Västra Skogen - Ingenting;49;3200000;2919;17 nov. 2023;1;0;1;0; Solna kommun;2
Gyllene Hästens Torg 7;Ulriksdal;82;4600000;4666;17 nov. 2023;1;0;1;0; Solna kommun;3
Gränsgatan 26;Råsunda;56;3450000;3439;16 nov. 2023;1;0;1;0; Solna kommun;2
Fridensborgsvägen 32, 1tr;Järvastaden;88;4900000;4539;16 nov. 2023;1;0;1;0; Solna kommun;4
Evenemangsgatan 40, våning 17 av 22!;Arenastaden;49;3125000;3359;16 nov. 2023;1;0;1;0; Solna kommun;2
Krysshammarvägen 20;Huvudsta;82,3;3850000;3856;16 nov. 2023;1;0;1;0; Solna kommun;3
Skytteholmsvägen 5A;Solna Centrum;59;2850000;3391;16 nov. 2023;1;0;1;0; Solna kommun;2
Odlingsvägen 5;Bergshamra;75;4050000;4166;16 nov. 2023;1;0;1;0; Solna kommun;5
Gustav III:s Boulevard 96;Frösunda;106;5650000;5764;16 nov. 2023;1;0;0;1; Solna kommun;4
Torrängsgatan 5;Järvastaden;71,5;4150000;4440;16 nov. 2023;1;0;0;0; Solna kommun;3
Åbergssons Väg 15;Bergshamra;63;3600000;2985;16 nov. 2023;1;0;1;0; Solna kommun;5
Huvudstalundsvägen 8;Huvudsta;49;2950000;3375;16 nov. 2023;1;0;0;1; Solna kommun;2
Parkvägen 8;Råsunda;90;6800000;3954;16 nov. 2023;0;0;0;0; Solna kommun;5
Bygatan 21, 1 tr;Huvudsta;88;4075000;5319;15 nov. 2023;1;0;1;0; Solna kommun;4
Evenemangsgatan 8, vån 1;Arenastaden;69;3300000;4099;15 nov. 2023;1;0;0;0; Solna kommun;2
Östervägen 16A, Vån 4/5;Råsunda;48;3100000;2539;15 nov. 2023;1;0;1;0; Solna kommun;2
Jonstorpsvägen 32;Huvudsta;97;3750000;5769;15 nov. 2023;1;0;1;0; Solna kommun;4
Drottning Kristinas Esplanad 63;Ulriksdal;71;3750000;3756;15 nov. 2023;1;0;1;0; Solna kommun;3
Gränsgatan 22, våning 4;Råsunda;41;2900000;2456;15 nov. 2023;1;0;1;0; Solna kommun;2
Kruthusbacken 82A, Vån 3/3;Råsunda;18;2825000;2496;15 nov. 2023;0;0;0;0; Solna kommun;2
Fridensborgsvägen 167;Järvastaden;48;2675000;3041;15 nov. 2023;1;0;1;0; Solna kommun;2
Viktor Sjöströms Väg 7;Solna Råsunda - Gamla Filmstaden;36,5;2730000;3009;15 nov. 2023;1;0;1;0; Solna kommun;2
Evenemangsgatan 40;Arenastaden;57;3800000;3908;14 nov. 2023;1;0;1;0; Solna kommun;2
Jungfrudansen 24;Huvudsta;74;3950000;4270;14 nov. 2023;1;0;1;0; Solna kommun;3
Kapellgatan 16;Huvudsta;72,8;3275000;4378;14 nov. 2023;0;0;1;0; Solna kommun;3
Kolonnvägen 68;Ulriksdal;71;3700000;4256;14 nov. 2023;1;0;1;0; Solna kommun;3
Ankdammsgatan 30;Skytteholm;76;3660000;4537;13 nov. 2023;1;0;1;0; Solna kommun;3
Enköpingsvägen 9C;Ritorp;106;5850000;6787;13 nov. 2023;0;0;0;0; Solna kommun;4
Storgatan 52, 2 tr;Huvudsta;60,1;2750000;2849;11 nov. 2023;1;0;1;0; Solna kommun;2
Vasavägen 22, 1 tr;Råsunda - Vasalund;50;2770000;3256;11 nov. 2023;0;0;0;0; Solna kommun;3
Bygatan 39;Huvudsta;88;3700000;5337;10 nov. 2023;1;0;1;0; Solna kommun;3
Gränsgatan 30;Råsunda;56;3545000;3439;10 nov. 2023;1;0;1;0; Solna kommun;2
Armégatan 29, 5 tr!;Västra Skogen;78,5;4000000;5291;10 nov. 2023;1;0;1;0; Solna kommun;3
Blomgatan 20;Rudviken/Solna C;43;3320000;2233;10 nov. 2023;1;0;1;0; Solna kommun;2
Centralvägen 21, våning 4+5;Solna Centrum;134;6080000;4772;10 nov. 2023;1;0;1;0; Solna kommun;4
Fridensborgsvägen 167;Järvastaden;102;5375000;5773;10 nov. 2023;1;0;1;0; Solna kommun;4
Fridensborgsvägen 58;Järvastaden;60;3500000;2825;10 nov. 2023;1;0;1;0; Solna kommun;3
Hagalundsgatan 22, vån 7;Hagalund;67;2600000;4087;10 nov. 2023;1;0;1;0; Solna kommun;3
Epistelvägen 7;Huvudsta - Ingenting;41,5;2920000;2685;9 nov. 2023;1;0;1;0; Solna kommun;2
Hagalundsgatan 18, vån 4;Hagalund;89;3595000;5429;9 nov. 2023;1;0;1;0; Solna kommun;4
Evenemangsgatan 18, vån 5;Arenastaden;43;2825000;2190;9 nov. 2023;1;0;1;0; Solna kommun;2
Råstavägen 8A;Gamla Råsunda - Slottet;57;4325000;3432;9 nov. 2023;1;0;0;0; Solna kommun;2
Nybodagatan 16;Skytteholm;54;3100000;2478;9 nov. 2023;1;0;1;0; Solna kommun;2
Göran Perssons Väg 17, vån 1;Huvudsta;83;3950000;4854;9 nov. 2023;1;0;1;0; Solna kommun;3
S:t Ansgars väg 10B, vån 5;Råsunda;32;2590000;2189;9 nov. 2023;1;0;1;0; Solna kommun;2
Polhemsgatan 3;Gamla Huvudsta;42;2650000;2224;9 nov. 2023;1;0;0;1; Solna kommun;2
Vintervägen 17, vån 2;Gamla Råsunda;62;3895000;3858;9 nov. 2023;1;0;1;0; Solna kommun;2
Carl Thunbergs Väg 1;Haga Norra;66;3805000;3870;9 nov. 2023;0;0;1;0; Solna kommun;3
Bangatan 13;Huvudsta;54;2995000;2856;8 nov. 2023;1;0;1;0; Solna kommun;2
Epistelvägen 1B, 10tr;Västra Skogen/Ingenting;36;2800000;2145;7 nov. 2023;1;0;1;0; Solna kommun;2
Solnavägen 13C;Karolinska;89;5500000;5135;7 nov. 2023;1;0;1;0; Solna kommun;4
Parkvägen 2;Råsunda;54;3700000;3715;7 nov. 2023;1;0;0;0; Solna kommun;2
Evenemangsgatan 18, 20tr;Arenastaden;75;5000000;3819;6 nov. 2023;1;0;0;0; Solna kommun;3
Bygatan 21,  2 tr;Huvudsta;88;4200000;5340;6 nov. 2023;1;0;1;0; Solna kommun;4
Armégatan 11B, 5 tr;Västra Skogen;38;2950000;2264;6 nov. 2023;1;0;1;0; Solna kommun;2
Brotorpsvägen 4;Järvastaden;50;3000000;2820;6 nov. 2023;1;0;1;0; Solna kommun;2
Krysshammarvägen 18;Västra Skogen;81,6;3900000;3824;6 nov. 2023;1;0;1;0; Solna kommun;3
Fridensborgsvägen 113;Järvastaden;53;3110000;3083;3 nov. 2023;1;0;1;0; Solna kommun;2
Uppfartsvägen 4;Gamla Råsunda;44;2900000;2369;3 nov. 2023;1;0;0;0; Solna kommun;2
Virebergsvägen 24;Råsunda;56;3500000;2538;3 nov. 2023;1;0;1;0; Solna kommun;2
Honnörsgatan 22, 3 tr;Järvastaden;84;4350000;4355;3 nov. 2023;1;0;1;0; Solna kommun;3
Göran Perssons Väg 27;Huvudsta;83;3200000;4476;3 nov. 2023;1;0;1;0; Solna kommun;3
Mäster Simons Väg 13A;Ritorp;37,6;2052000;2667;3 nov. 2023;1;0;0;1; Solna kommun;2
Hagalundsgatan 40, VÅN 11;Hagalund;67;2695000;3008;2 nov. 2023;1;0;0;0; Solna kommun;3
Johan Enbergs väg 5;Västra Skogen;78;5000000;4058;2 nov. 2023;1;0;1;0; Solna kommun;3
Kruthusbacken 82A;Råsunda;38;2200000;3048;2 nov. 2023;0;0;0;0; Solna kommun;2
Nybodagatan 4;Skytteholm;62,5;3650000;3732;2 nov. 2023;1;0;1;0; Solna kommun;2
Polhemsgatan 3;Huvudsta;70;2860000;3708;2 nov. 2023;1;0;1;0; Solna kommun;2
Huvudstagatan 13;Huvudsta;63,5;3750000;3890;2 nov. 2023;1;0;1;0; Solna kommun;2
Mäster Simons Väg 6A;Ritorp;53;2600000;5544;1 nov. 2023;1;0;1;0; Solna kommun;2
Råsundavägen 113;Gamla Råsunda - Stråket;70;5425000;3831;1 nov. 2023;1;0;0;0; Solna kommun;2
Charlottenburgsvägen 15;Råsunda;40;2975000;2864;1 nov. 2023;1;0;1;0; Solna kommun;2
Östervägen 25b, 4 tr;Råsunda - Solna;36;2775000;2572;1 nov. 2023;0;0;1;0; Solna kommun;2
Lostigen 34;Bergshamra;63;3650000;3219;1 nov. 2023;0;0;1;0; Solna kommun;2
Uppfartsvägen 7;Råsunda;70;4400000;3712;1 nov. 2023;1;0;1;0; Solna kommun;3
Signe Tillischgatan 5;Frösunda;79;4650000;4657;1 nov. 2023;1;0;1;0; Solna kommun;3
Andersvägen 5;Haga Norra;49;2800000;3495;31 okt. 2023;1;0;1;0; Solna kommun;2
Nybodagatan 10, vån 6;Skytteholm;61;3100000;3321;31 okt. 2023;1;0;1;0; Solna kommun;2
Fridensborgsvägen 157;Järvastaden;53,5;3095000;3320;31 okt. 2023;1;0;1;0; Solna kommun;2
Regementsgatan 52;Ritorp;54,7;2700000;2912;31 okt. 2023;0;0;1;0; Solna kommun;2
Fridensborgsvägen 121;Järvastaden;52;3110000;3048;31 okt. 2023;1;0;1;0; Solna kommun;2
Fridensborgsvägen 39;Järvastaden;47;2700000;3278;31 okt. 2023;1;0;1;0; Solna kommun;2
Solgatan 10, Vån 3;Rudviken/Solna C;73,5;4000000;4551;30 okt. 2023;1;0;1;0; Solna kommun;3
Huvudstagatan 1B, 6tr;Solna Centrum;109;6100000;5830;30 okt. 2023;1;0;1;0; Solna kommun;4
Gustav III:s Boulevard 84, 4 tr;Frösunda;53;3450000;3307;30 okt. 2023;1;0;1;0; Solna kommun;2
Arvid Tydéns Allé 4;Västra Skogen;62;3700000;3694;30 okt. 2023;1;0;1;0; Solna kommun;2
Brotorpsvägen 4;Järvastaden;50;2925000;2820;29 okt. 2023;1;0;1;0; Solna kommun;2
Krysshammarvägen 20, vån 5;Huvudsta;54,6;2800000;2595;28 okt. 2023;1;0;1;0; Solna kommun;2
Wiboms väg 9;Huvudsta;47;2650000;2890;28 okt. 2023;1;0;0;0; Solna kommun;2
Idrottsgatan 3, Vån 3;Råsunda;44;3120000;2384;27 okt. 2023;1;0;1;0; Solna kommun;2
Åsvägen 5, vån 4 av 4;Råsunda/Vasalund;52;3625000;3657;27 okt. 2023;1;0;1;0; Solna kommun;2
Östervägen 14 B, 4/4 tr;Råsunda;42;3060000;2678;27 okt. 2023;1;0;1;0; Solna kommun;2
Västra vägen 23;Rudviken;78;3400000;3582;27 okt. 2023;1;0;1;0; Solna kommun;3
Barks väg 6;Bergshamra;67;4200000;3822;27 okt. 2023;1;0;0;1; Solna kommun;2
Åbergssons Väg 31;Bergshamra;70;4025000;3163;27 okt. 2023;0;0;0;1; Solna kommun;2
Huvudstagatan 3 E;Centrala Solna;45;2675000;2841;26 okt. 2023;1;0;0;1; Solna kommun;2
Vasavägen 31, 3tr;Råsunda;39;2820000;2488;26 okt. 2023;0;0;1;0; Solna kommun;2
Björnstigen 119;Bergshamra;69;3900000;2717;26 okt. 2023;0;0;1;0; Solna kommun;3
Evenemangsgatan 18;Arenastaden;51;3300000;2597;25 okt. 2023;1;0;1;0; Solna kommun;2
Enköpingsvägen 9C, Vån 2;Norra Frösunda/Ritorp;97;5100000;6249;25 okt. 2023;0;0;0;0; Solna kommun;3
Ankdammsgatan 4, vån 3;Skytteholm;63;3300000;3998;25 okt. 2023;1;0;1;0; Solna kommun;2
Lostigen 1;Bergshamra;66;3800000;3567;25 okt. 2023;0;0;1;0; Solna kommun;3
Lövgatan 55, vån 7/7;Råsunda;37;2950000;2211;25 okt. 2023;1;0;0;0; Solna kommun;2
Wiboms Väg 27, plan 5;Huvudsta;86,5;4120000;5324;25 okt. 2023;1;0;1;0; Solna kommun;3
Råsundavägen 68;Råsunda;81;5650000;3220;25 okt. 2023;1;0;1;0; Solna kommun;3
Jungfrudansen 44;Huvudsta;59;3200000;2863;25 okt. 2023;1;0;0;1; Solna kommun;3
Charlottenburgsvägen 26;Råsunda - Vasalund;68;3995000;5986;24 okt. 2023;0;0;1;0; Solna kommun;3
Framnäsbacken 1;Skytteholm;112;4575000;7709;24 okt. 2023;1;0;1;0; Solna kommun;4
Storgatan 50, vån 6;Huvudsta;60,6;3150000;2873;24 okt. 2023;1;0;1;0; Solna kommun;2
Evenemangsgatan 40;Arenastaden;43;3070000;2948;24 okt. 2023;1;0;1;0; Solna kommun;2
Johan Enbergs väg 52;Västra Skogen;80;5210000;5046;24 okt. 2023;1;0;1;0; Solna kommun;3
Storgatan 72A;Huvudsta;75,5;4175000;4827;24 okt. 2023;1;0;1;0; Solna kommun;3
Sjövägen 2;Råsunda;59;2725000;4011;24 okt. 2023;1;0;1;0; Solna kommun;2
Åsvägen 7;Råsunda;62;3650000;3765;24 okt. 2023;1;0;1;0; Solna kommun;2
Gamla vägen 9;Bergshamra;67,5;4100000;2938;24 okt. 2023;1;0;1;0; Solna kommun;2
Anders Lundströms gata 11;Frösunda;88;5035000;4596;24 okt. 2023;1;0;1;0; Solna kommun;3
Evenemangsgatan 40, vån 11;Arenastaden;106;7300000;7266;23 okt. 2023;1;0;1;0; Solna kommun;4
Infanterigatan 5;Västra Skogen;56,5;3060000;3048;23 okt. 2023;1;0;1;0; Solna kommun;2
Armégatan 36B;Huvudsta;80;4695000;4864;23 okt. 2023;1;0;1;0; Solna kommun;3
Polhemsgatan 4;Gamla Huvudsta;88;4800000;3844;23 okt. 2023;0;0;1;0; Solna kommun;4
Backvägen 1;Råsunda;77;4100000;3808;23 okt. 2023;1;0;1;0; Solna kommun;3
Huvudstagatan 1B, 2 tr!;Solna Centrum;41;2700000;2778;23 okt. 2023;1;0;1;0; Solna kommun;2
Torrängsgatan 5;Järvastaden;46,5;2800000;3141;23 okt. 2023;1;0;0;0; Solna kommun;2
Vasavägen 23;Vasalund;57;3650000;2822;23 okt. 2023;0;0;0;1; Solna kommun;2
Ripstigen 6;Bergshamra;60;3900000;3431;22 okt. 2023;1;0;1;0; Solna kommun;2
Pipers Väg 165, 2tr;Bergshamra;11;8350000;6100;20 okt. 2023;1;0;1;0; Solna kommun;4
Björnstigen 115;Bergshamra;60,5;3400000;2293;20 okt. 2023;0;0;1;0; Solna kommun;2
Armégatan 5, 2 tr;Huvudsta/Västra skogen;58,5;3500000;3372;20 okt. 2023;1;0;1;0; Solna kommun;2
Mittfältsgatan 3, plan 4;Råsunda;70;4000000;4493;20 okt. 2023;1;0;1;0; Solna kommun;2
Hasselstigen 5;Råsunda;50,5;3600000;3549;20 okt. 2023;1;0;1;0; Solna kommun;2
